sid	label	pkgname	ver	adunitshowid	mediashowid	apptype	nginxtime	ip	city	province	reqrealip	adidmd5	imeimd5	idfamd5	openudidmd5	macmd5	dvctype	model	make	ntt	carrier	os	osv	orientation	lan	h	w	ppi
6bcec6dd-3507-46d4-82b0-738e17a22956-1560046919861	0	empty	4.9.10	61210483e23b4b175c832fe48788d208	0c28cf2afaba3174f88e045403d45763	265.0	1.560046919861E12	106.111.165.219	盐城市	-1.0	47.101.147.83	6600160a3b40bb0d60b27f32bb3e5c15	84b40cdf3cc43890aebc603d2fbc6277	empty	empty	empty	2.0	CUN-AL00	荣耀	2.0	0.0	android	5.1	0.0	NULL	0.0	0.0	0.0
47540b8b-92f2-44fe-9641-43819f8977cd-1560093071313	0	8b93f2271e0e09f2ea93cc6bbbafeba8	NULL	01e7dda5ca1066873e7bfebdccc03416	06765782b6564446531bf6795f0fdc48	336.0	1.560093071312E12	121.237.62.238	南京市	-1.0	119.254.201.249	empty	90775d93c70f77621aab0867ce2b5c9a	empty	empty	empty	0.0	VIVO Y66L	vivo	2.0	46000.0	android	6.0.1	0.0	NULL	0.0	0.0	0.0
ca56d573-ab38-4818-bf0b-87d5595ae6f1-1560046720828	0	0a3215caf48d92de4f8ab34dd07d6f37	NULL	e7f79bda2b839f7debffe13ee6df818f	f4658ac564ae09266976ac30e0f8f582	221.0	1.560046720827E12	223.104.247.137	宁波市	-1.0	42.236.10.71	5b7c1b048fe1392a1130bb7066e386c3	4f344b358010e115a3fca01d0cc973f8	empty	empty	empty	0.0	EML-AL00	NULL	6.0	46000.0	android	9	0.0	NULL	2031.0	1080.0	0.0
b024e3cd-eaaf-4fcb-8595-c6d02236404d-1560049292925	0	0a3215caf48d92de4f8ab34dd07d6f37	NULL	e7f79bda2b839f7debffe13ee6df818f	f4658ac564ae09266976ac30e0f8f582	221.0	1.560049292923E12	144.52.118.95	潍坊市	-1.0	180.163.255.199	ff2675ad89adb16a94e96b5c4f3d6784	754be2dafe2f812d68f8ceb3bbb80e35	empty	empty	empty	0.0	OPPO R9S	OPPO	2.0	46001.0	android	6.0.1	0.0	NULL	1920.0	1080.0	0.0
2be2d189-77e5-4c8f-9985-08846dae270b-1560084688642	0	empty	4.7.5	9f1eadd9092b19bc86ee0cacde1c867f	eec946a5a66c023ec9d3b2ede5900626	265.0	1.560084688644E12	123.147.246.205	重庆市	31.0	47.101.147.83	0cca580b3c939176d7c9e8a990fca288	43036728109c53b41729733705c535c4	empty	empty	empty	2.0	PACM00	NULL	6.0	0.0	android	8.1	0.0	NULL	0.0	0.0	0.0
9cd0cc83-8c2e-4fc5-98d9-ec0b23b14ba1-1560081774851	0	1fc31a2999de4578dc95781e4d55d7af	NULL	01e7dda5ca1066873e7bfebdccc03416	06765782b6564446531bf6795f0fdc48	336.0	1.560081774847E12	112.20.17.89	泰州市	-1.0	119.254.201.249	empty	35d0ac3bf4d3577bf0e515f9c576237b	empty	empty	empty	0.0	VIVO Y66L	vivo	0.0	46000.0	android	6.0.1	0.0	NULL	0.0	0.0	0.0
9c1978e5-4478-424e-ba65-20f64447e858-1560053690575	1	170a88a12e36f8a0f1b73442304398b1	30928000	f51ec99a47731ba46985a4530c923069	d53d2af198ebef9544f0823c3c8e84f8	301.0	1.560053690577E12	117.136.109.180	常州市	-1.0	39.96.159.158	empty	063f76a584bffbefba6445cdd9bd0ba6	empty	empty	empty	2.0	PBAT00	OPPO	5.0	46000.0	Android	8.1.0	1.0	zh-CN	760.0	360.0	0.0
5e877aa4-5ae9-4f7b-a052-d8a17fce8d0a-1560061681380	0	bb186476d2a0ae0f666d90580e83897a	5.34.0	241cedcd453eec2aa3215e714f0b8e55	14ce653743a97444f051a3fb94ddae7d	277.0	1.56006168138E12	223.104.24.244	贵阳市	-1.0	123.59.48.110	79648d1d0a6e3cb0a72cfff2b2126b46	fe91964e2dd418d567d55f8e9b98a07a	empty	empty	79ca0e732f3fcf55edbdc4531db4ea92	2.0	PADT00	OPPO	6.0	46000.0	Android	8.1.0	0.0	zh-CN	2136.0	1080.0	3.0
aa6e1964-76e9-4cc6-8490-b89245efe3dd-1560037885227	1	empty	5.76.2.6060	ab85ef736cd21df4861e71b73bffccab	25ad2d02765793b229e8e468a6203269	326.0	1.560037885225E12	61.185.211.60	西安市	-1.0	106.14.150.230	6807fcd9e2f6ce43b1bf910d092014e7	3555f444f607e196e84d0119c9c53379	empty	empty	0f607264fc6318a92b9e13c65db7cd3c	2.0	V1824A	vivo	2.0	46001.0	android	9	0.0	zh-CN	2340.0	1080.0	0.0
fd2844cf-7431-45e2-b539-da7355547b42-1560077463852	0	3b0a19ce98a18e4bd2e1163aa8edb0a6	NULL	d0267547ad324d53078c09095c2e1148	06765782b6564446531bf6795f0fdc48	336.0	1.560077463867E12	115.56.58.235	商丘市	-1.0	119.254.201.249	empty	6448ec6b265654c95056e042c7c0e7ef	empty	empty	empty	0.0	VIVO X6D	vivo	2.0	46000.0	android	5.1	0.0	NULL	0.0	0.0	0.0
adf2f9b3-7ee9-4c5e-bd97-e1f76d4c2616-1560089980135	0	2e066fadcc4fe744ec8417c678688601	NULL	c6a36f4b4f1d1204f0c20b9a67cf60d7	06765782b6564446531bf6795f0fdc48	336.0	1.560089980155E12	183.228.108.188	重庆市	31.0	119.254.201.249	empty	5c0ec528fee79c51b2bd1a6940d7dd17	empty	empty	empty	0.0	VIVO Y66	vivo	2.0	46000.0	android	6.0.1	0.0	NULL	0.0	0.0	0.0
edd58168-be52-4d08-9638-aee09a822d89-1560073633722	0	0ff1fb05e89fd10fb480a9184c2c2d15	521000	580d13b46b75e6bb2f80d0e38fc3fe2c	a51cf88cec32c6cd06703838c50d19ac	318.0	1.560073633721E12	112.96.134.108	广州市	-1.0	211.159.203.244	5dd3b601fd909711f7b8a9e76dbacf32	4a240ce6701e713f6081640f934af58a	empty	b2508ad6459e8c41495ab2979899c348	fbec913c0ad5fa965180bb8625d84a41	2.0	MIX	Xiaomi	2.0	46000.0	Android	8.0.0	1.0	zh-CN	1920.0	1080.0	480.0
44f41da7-bcb5-4a11-96c6-885585c70b3c-1560036323958	0	7c5512e914ef3e1e88f4c6301e9b5796	NULL	d0267547ad324d53078c09095c2e1148	06765782b6564446531bf6795f0fdc48	336.0	1.560036323954E12	106.110.179.136	连云港市	-1.0	119.254.201.249	empty	e9f3c863c28d712144deec529108c704	empty	empty	empty	0.0	VIVO Y55A	vivo	2.0	46000.0	android	6.0.1	0.0	NULL	0.0	0.0	0.0
9a5d2190-815d-421c-b877-78e5eebdeb40-1560049998369	0	9fa14a798a23957226e066966594d7da	NULL	d0267547ad324d53078c09095c2e1148	06765782b6564446531bf6795f0fdc48	336.0	1.560049998387E12	221.192.180.179	唐山市	-1.0	119.254.201.249	empty	6c9016c82fc8cf9484d077147035d94a	empty	empty	empty	0.0	VIVO X7	vivo	6.0	46000.0	android	5.1.1	0.0	NULL	0.0	0.0	0.0
3a2ea29f-46c1-40e6-847a-a958a60b5d46-1560090079855	1	c3928c124c66197bda97ee4f34a4767e	NULL	e75047ac4169618b8961a689ed954151	fc5c28b3674877c00e1cff5f025d223e	281.0	1.560090079854E12	120.244.118.22	北京市	2.0	123.123.219.7	e78dd33abf54636dbe5a15fdb6e52fb9	c515f8ae917b631b472e288e59d94efe	empty	empty	empty	2.0	VIE-AL10	HUAWEI	2.0	-1.0	android	7.9.2	0.0	NULL	0.0	0.0	0.0
23581054-fb28-449b-96a7-367b39c15c17-1560009922640	0	empty	4.8.10	ee61b20561a729e8805267105078fb32	0c28cf2afaba3174f88e045403d45763	265.0	1.56000992264E12	106.34.109.171	开封市	-1.0	47.101.65.230	3c4179ede66078ce6b34d81e455a866c	3ffb4c3e2fe85012f529898375943c4b	empty	empty	empty	2.0	PADM00	NULL	6.0	0.0	android	8.1	0.0	NULL	0.0	0.0	0.0
9eef1f3f-3c66-42b9-8bf0-55ea5c8f9267-1560040448729	0	0a3215caf48d92de4f8ab34dd07d6f37	NULL	96bf5bf98f3d995df7884ba8b135d89e	f4658ac564ae09266976ac30e0f8f582	221.0	1.56004044873E12	223.88.221.89	安阳市	-1.0	180.163.255.231	2fcd2c01ec15ab377a3e27d3f14eff72	a67848c841f853d81db092bb878c287d	empty	empty	834cd195fb4aca84aac73d47aab680c6	0.0	1505-A01	360手机	2.0	46000.0	android	6.0	0.0	NULL	1920.0	1080.0	0.0
f1ddfe27-9111-4a45-b35f-d7047ec013a6-1560061080450	1	empty	7.2.0.0	af46d4c68c41ff23e606fe2b4975db25	2ab475eecfd3acf1651857c10b9d6dc6	380.0	1.56006108045E12	125.42.166.66	新乡市	-1.0	39.105.182.91	d7b5f58f157920b0c1c9859fc6e70f00	03568465ca87b6852b86623a6ba5c3db	empty	empty	bc42cd9420b4e32ebceaf4b665548e86	2.0	REDMI6PRO	Xiaomi	2.0	46000.0	android	2.3	0.0	NULL	2061.0	1080.0	640.0
94ff554d-3dc9-4dfd-884a-1e82fb81b744-1560020841132	1	170a88a12e36f8a0f1b73442304398b1	30928000	f67a95c5c748a5bc252d3e854f8e4977	d53d2af198ebef9544f0823c3c8e84f8	301.0	1.560020841133E12	223.104.20.168	武汉市	-1.0	39.96.159.162	empty	2cfccc730a01d9d91b22e345bd7751b0	empty	empty	empty	2.0	BAC AL00	HUAWEI	5.0	46000.0	Android	8.0.0	1.0	zh-CN	640.0	360.0	0.0
0633a475-ac29-4ead-a526-37913dccd4f3-1560074029745	1	empty	4.3.1	430fcbd8a9106e2108713b1e415853b3	15352bbafaf25c32d5f5151250456f34	249.0	1.560074029745E12	223.104.189.123	青岛市	-1.0	59.110.169.130	287178a21abf6fae50a29f9696ede28d	fdd3fc08fefd2f78a2e75e9472bbc7cc	empty	empty	0f607264fc6318a92b9e13c65db7cd3c	2.0	PBAM00	OPPO	6.0	46000.0	android	8.1.0	0.0	zh-cn	1520.0	720.0	2.0
42e36ca8-fd2d-4501-b052-f761a3fa9a19-1560014423819	1	empty	NULL	10199dc8fea2e173525bc3151bd84312	3f2fc57a6e1f9c6fa4464c25cc1e88a3	319.0	1.56001442382E12	171.81.207.197		-1.0	47.95.111.138	cfe7183b5f9e1fa3b0bd109ebf4ddd88	de94384ff243c9d963e965c81d0e06c7	empty	cfe7183b5f9e1fa3b0bd109ebf4ddd88	cc97d9fb6634b2367ffbfb58a36375e7	2.0	SNE-AL00	HUAWEI	2.0	46000.0	android	Android_9	0.0	NULL	2129.0	1080.0	0.0
936c5568-53e3-4e20-abf4-68b808173234-1560036283742	0	0a3215caf48d92de4f8ab34dd07d6f37	NULL	e00e9da465ddfd605e2c39aa531dc6da	f4658ac564ae09266976ac30e0f8f582	221.0	1.560036283748E12	171.92.223.124	眉山市	-1.0	180.163.255.230	ee49cdf3dc6f0f65727beba79d114e6d	d771a2be40c5b8bdcb7563e618237ff2	empty	empty	empty	0.0	M5 NOTE	魅族	2.0	46000.0	android	6.0	0.0	NULL	1920.0	1080.0	0.0
510f2550-18a8-4336-bbdf-24add2d15b2a-1560068971845	0	6e49480920d066e575d0fb181410b4da	NULL	318781ed8b58aae4b40be456cfa9c0ec	4d3d4e0848574718a6b26b2920ef1c15	265.0	1.560068971846E12	117.136.15.200	甘孜藏族自治州	-1.0	154.8.131.102	cb99a7bb4982b1fd0303e9ef497b797e	068fdb82f4a6af708a36fa7c3977e0c9	empty	empty	0f6a92d15616fe84856ba852561fd9c8	2.0	MIX+2S	NULL	6.0	-1.0	android	9	0.0	NULL	0.0	0.0	0.0
cdababe9-37c6-4377-b102-94b7ea3e01c6-1560044955014	1	empty	5.76.2.6060	97e5b750dd758c5a2a2a5cc401c20e2a	25ad2d02765793b229e8e468a6203269	326.0	1.560044955013E12	27.45.35.52	江门市	-1.0	47.100.18.3	f617d7c03d3b2e84a4c889b6dd65ab23	99a32b06fc196735029cd2b7c567ff8e	empty	empty	0f607264fc6318a92b9e13c65db7cd3c	2.0	MI 8	Xiaomi	2.0	46000.0	android	9	0.0	zh-CN	2248.0	1080.0	0.0
18649ca2-a2b0-4154-8e01-696d2dfe822a-1560039987497	0	empty	5.0.1	52b5e49f63f25d1f06c4696130f15630	0c01813efdd71cd69006b50c8f493976	273.0	1.560039987498E12	120.200.18.191	沈阳市	-1.0	39.97.108.148	71172f318833f639f84c621a8da6a8a0	8b7205c671ee9666d43234368e836d87	empty	empty	0f607264fc6318a92b9e13c65db7cd3c	2.0	PBBM00	OPPO	2.0	46000.0	android	8.1.0	0.0	NULL	2340.0	1080.0	0.0
55d5afad-2d74-43ff-8d77-b8060d0d241d-1560092412480	0	0a3215caf48d92de4f8ab34dd07d6f37	NULL	e00e9da465ddfd605e2c39aa531dc6da	f4658ac564ae09266976ac30e0f8f582	221.0	1.560092412479E12	14.30.47.228	广州市	-1.0	180.163.220.60	cc4ca84418d5afd7f8f05a02a194e3c7	0cf5f6173779ea27017108be04b49db0	empty	empty	empty	0.0	MI NOTE LTE	小米	6.0	46003.0	android	4.4.4	0.0	NULL	1920.0	1080.0	0.0
b476e48a-cb6f-4436-bdb6-5f3376375056-1560069568854	0	empty	6.6.3.cu	0c122f77a891838e7908c529a617537e	ac5cd37ad285472ae95bc89b18939cef	214.0	1.560069568855E12	101.247.252.129	东莞市	-1.0	114.215.17.214	f499d8bd4c7eff50f2643b8588d39c69	07510d853a3961edf22a8dc0db8a8689	empty	empty	11f01921556f5c91518eca8dd76e8491	2.0	GN8002S	GIONEE	2.0	0.0	android	6.0	0.0	zh-CN	1920.0	1080.0	0.0
a3216479-57a1-4780-bd30-8f67a850d9db-1560052212386	0	2477c87258c08e20d9b3d308867ae4cd	8.5.7.1	c2c317328d5ffc8b7dc543e24fa896cc	6a201781abc86a0666c3e94b6638c920	367.0	1.560052212383E12	180.136.82.151	桂林市	-1.0	124.243.219.138	5e773fca62e03595d42ae68551099aa0	3158f0b4ec0e9447b0ffc3d6da0569d8	empty	empty	88673f1ed095738cf7fb9dfa06431a86	2.0	VIVO Y66I A	NULL	2.0	46000.0	android	7.1.2	0.0	cn	0.0	0.0	0.0
f4b3c66b-5168-4d13-814f-6ade74accf04-1560042407802	1	empty	5.76.2.6060	a03caee254dc4d2c20af52f46ae6fbb9	25ad2d02765793b229e8e468a6203269	326.0	1.560042407804E12	123.191.51.194	沈阳市	-1.0	47.100.11.90	a1eba26b8c33a785c026b68ce44d25f4	d79b48db591fe7ab38daca08aa6116b1	empty	empty	0f607264fc6318a92b9e13c65db7cd3c	2.0	COR-AL00	HONOR	2.0	46000.0	android	9	0.0	zh-CN	2340.0	1080.0	0.0
cbb1e2aa-d99a-494d-9c36-43c0241b7db6-1560042118291	1	empty	190516	51f02f6007e49301adb4ccb1da0fbf12	5f83d3d963b19352aff3d9b5b29fa736	273.0	1.560042118291E12	1.83.82.221	西安市	-1.0	106.75.85.242	a0cab9c1870293a241544a09c0486918	773ffe306fcb9b2e4ff65676825ed4a7	empty	empty	d9eeb25e58234fb909a611327d35e7a7	3.0	BND-AL00	HUAWEI	2.0	46000.0	android	9	0.0	zh_CN	2038.0	1080.0	0.0
4fe1eb35-daa4-421e-843d-3332e65b1d24-1560079423360	1	3fbfcb303410dc1b7ec97d750ab0b28c	7.0.9	11b8c954c3bfb0fc62b1a839a800841d	9cfc68d2236479207f09a40d57c6ee0c	301.0	1.560079423359E12	110.87.25.170	厦门市	-1.0	47.96.74.133	acfc7d98fcc78db2af23751c36be617c	03c2b7ade57260bfe0cd85e833b03b88	empty	empty	3121f9928d6d94ddd7e266ecaccb8999	2.0	PADT00	OPPO	2.0	46000.0	Android	8.1.0	1.0	zh-CN	2200.0	1080.0	2.0
3dafe1c0-0214-4678-a941-0c4773039ebf-1560063184511	0	empty	7.2.0.0	af46d4c68c41ff23e606fe2b4975db25	2ab475eecfd3acf1651857c10b9d6dc6	380.0	1.56006318451E12	211.145.78.135	北京市	2.0	39.105.182.91	ee5d96749080d76d6fa95546712a23cd	99f783d6171762109ec533330b4c6edb	empty	empty	c4b33f46e78e3cb7a0a46abd38d7abfb	2.0	OS105	smartisan	2.0	46000.0	android	7.1.1	0.0	NULL	2070.0	1080.0	640.0
a5d796a3-7085-46e0-ad18-8d54dde5bede-1560081363616	0	73cc2348a06f777964240d4413cbdacb	NULL	d0267547ad324d53078c09095c2e1148	06765782b6564446531bf6795f0fdc48	336.0	1.560081363615E12	183.202.241.101	吕梁市	-1.0	119.254.201.249	empty	119a0ba0b7fa6f17348208cc210fa827	empty	empty	empty	0.0	VIVO Y55	vivo	2.0	46000.0	android	6.0.1	0.0	NULL	0.0	0.0	0.0
8e87ece5-2357-4cf3-b22e-b159c0f11516-1560045531738	1	0a3215caf48d92de4f8ab34dd07d6f37	NULL	9dd91f965c1c9a5932dedc020c97c048	f4658ac564ae09266976ac30e0f8f582	221.0	1.560045531737E12	113.5.5.207	哈尔滨市	-1.0	42.236.10.74	7e9159b020e128e2989b1270488ce000	f50b7f375a26787266c7e2cda49d1797	empty	empty	empty	0.0	KNT-AL10	华为	6.0	46001.0	android	6.0	0.0	NULL	1812.0	1080.0	0.0
0306770a-4048-4085-8a95-5358fca5b191-1560045046899	1	6e49480920d066e575d0fb181410b4da	NULL	318781ed8b58aae4b40be456cfa9c0ec	4d3d4e0848574718a6b26b2920ef1c15	265.0	1.560045046894E12	117.136.64.20	成都市	-1.0	154.8.131.102	77e5195345b532c1e1a60dcb3a71bf4f	b6b99e1764abb329470fb4c42a86e8f7	empty	empty	b90ceb878913742c5f94751e86224827	2.0	STF-AL10	荣耀	6.0	-1.0	android	9	0.0	NULL	0.0	0.0	0.0
4e3e04cd-19d3-4320-b164-e7dfbac3c9a7-1560034895511	1	783e95e8438d127d46370795913a7b66	3.3.4	475ac80a2dd7f5ec3f3858ab8b07f615	4b66782f892dd44623b9059f57acb1bf	323.0	1.560034895509E12	114.246.79.121	北京市	2.0	39.105.110.165	2387008d6a6cd35e4a06911b07df876d	95ceeb379892b19837b814d163d7ad80	empty	empty	ea8334bdd3852a8fa0fd2e4ea1e4785a	2.0	OPPO%20R9S	OPPO	2.0	46000.0	Android	6.0.1	1.0	zh-CN	1920.0	1080.0	2.0
4595730e-3e2e-449e-9172-a87c566e8fe3-1560074849904	1	170a88a12e36f8a0f1b73442304398b1	30928000	f51ec99a47731ba46985a4530c923069	d53d2af198ebef9544f0823c3c8e84f8	301.0	1.560074849901E12	223.107.128.126	盐城市	-1.0	39.96.159.156	empty	78db57868e12471c96c33152ebaefab0	empty	empty	empty	2.0	MI PLAY	xiaomi	2.0	46000.0	Android	8.1.0	1.0	zh-CN	830.0	393.0	0.0
95048366-5c4a-4ff1-9cef-9ce697ee0968-1560035901235	0	empty	4.9.8	e0dc59c91921d0ab8acb8ac1e9a81a93	0c28cf2afaba3174f88e045403d45763	265.0	1.560035901235E12	223.104.63.97	北京市	2.0	47.101.65.230	2ba2d9c7b3808d553ff9830640345552	776e6d7b903d31593a3d547bf8a0012b	empty	empty	empty	2.0	OPPO A57T	NULL	6.0	0.0	android	6.0	0.0	NULL	0.0	0.0	0.0
1dd82ddb-6cee-4eb7-af4d-aed67247022e-1560081387517	0	2d2664e827bcbb8b07100c7fbe072e9b	11.11.0	907d0f8c29663840491577a21c7b612a	ca64a500000d84c8fcb8a0587d0e1e0c	280.0	1.560081387517E12	117.173.192.167	内江市	-1.0	180.76.181.7	33b3afbf942337757ed4825de09f25e7	5a15fee5152c750fce1a7b81edd1d8aa	empty	empty	bd106bc330c81aa2526f91ba88fe0e6a	2.0	PADT00	OPPO	2.0	46000.0	Android	8.1.0	0.0	zh-CN	2280.0	1080.0	3.0
69655064-9943-44bb-8ff9-9087bfb7bb3a-1560093534211	1	empty	3.9.24.000.0508.1302	b57760aa093029b20eaad963314801c4	bad8e4bec6d8f96a409f5a795d1eec54	241.0	1.560093534211E12	106.121.145.52	北京市	2.0	47.99.129.94	634c7e361e6110cb37219ec21c22f59d	06425205c1fa5c6a9572c29cf6a96ca5	empty	empty	f577053c6ae3522fec76338e4fcca785	2.0	PBEM00	OPPO	6.0	0.0	android	8.1.0	0.0	zh-CN	2340.0	1080.0	0.0
142be1d0-4517-4e95-8e89-9c26f01e5fcf-1560062445792	1	170a88a12e36f8a0f1b73442304398b1	30928000	6618408bae888ad02c4e0d9bd4d88d29	d53d2af198ebef9544f0823c3c8e84f8	301.0	1.560062445795E12	118.74.51.158	晋中市	-1.0	39.96.159.154	empty	d9de02dbb88a82ab377531a793108ed1	empty	empty	5ba1cf1efeee4f83e91f9c0adc3015e3	2.0	PADM00	OPPO	2.0	46000.0	Android	8.1.0	1.0	zh-CN	760.0	360.0	0.0
2ce31013-7010-41d7-bb20-e6b585effd4e-1560077466872	0	2477c87258c08e20d9b3d308867ae4cd	8.5.7.1	74b9d85bac135d21195fbf7eeffb18eb	6a201781abc86a0666c3e94b6638c920	367.0	1.560077466874E12	117.181.92.174	贵港市	-1.0	124.243.219.138	cad24949b6be8bf6b94a7e18014a2803	18dac4e5e598e57e5c5d6736bae50b1f	empty	empty	86bfeeca6eac9e05705565feb93d80df	2.0	VIVO X9S	NULL	2.0	46000.0	android	8.1.0	0.0	cn	0.0	0.0	0.0
32cb71df-10bd-44f7-b5f3-834aba7f058d-1560092810605	0	df88db6da0b6b226860ebc6ae03699e2	5.2.0	3ffb03d05c13d4061122d6557637c74f	fc31b7779ea0566d2c7056da22cc9eef	302.0	1.560092810605E12	223.104.63.159	北京市	2.0	47.110.240.237	cb577a3fd390a215b41591657504c3dd	0fe9683530fccfcd6726797ee58d46b6	empty	empty	125f185bd07afb3d3331fb63ec30bb53	2.0	PBBM00	OPPO	6.0	46000.0	Android	8.1.0	0.0	zh-CN	2340.0	1080.0	480.0
7a2a2ae9-d9ad-41a3-93c7-47557595ab20-1560081768430	0	2d2664e827bcbb8b07100c7fbe072e9b	11.11.0	fa52e5f55e8ba880aee5399d483306b8	ca64a500000d84c8fcb8a0587d0e1e0c	280.0	1.56008176843E12	171.215.51.155	凉山彝族自治州	-1.0	180.76.181.7	6508b8eec7c28bbccb62bb08c5f14945	a7afa8f5731e60deb7e143979d0bc0e2	empty	empty	920b5734e96368281bc892c306c3b293	2.0	M5 NOTE	Meizu	2.0	46003.0	Android	7.0	0.0	zh-CN	1920.0	1080.0	3.0
